Disease,Gelidium,Health,Sediment
TAXA1,0.5084,0.0026,0.0000,0.0000
TAXA2,0.1485,0.0000,0.0008,0.0000
TAXA3,0.0667,0.0000,0.0000,0.0027
TAXA4,0.0567,0.0015,0.0016,0.0000
TAXA5,0.0219,0.1127,0.0018,0.0000
TAXA6,0.0205,0.0000,0.0000,0.0000
TAXA7,0.0186,0.0399,0.0177,0.0000
TAXA8,0.0179,0.0000,0.0000,0.0000
TAXA9,0.0176,0.0000,0.0000,0.0000
TAXA10,0.0168,0.0000,0.0007,0.0000
TAXA11,0.0119,0.0006,0.0000,0.0000
TAXA12,0.0099,0.0000,0.0000,0.0000
TAXA13,0.0050,0.0000,0.0000,0.0000
TAXA14,0.0049,0.0000,0.0007,0.0000
TAXA15,0.0049,0.0000,0.0000,0.0000
TAXA16,0.0044,0.0056,0.0001,0.0086
TAXA17,0.0042,0.0000,0.0000,0.0000
TAXA18,0.0041,0.0000,0.0000,0.0000
TAXA19,0.0039,0.0000,0.0000,0.0000
TAXA20,0.0039,0.0000,0.0000,0.0000
TAXA21,0.0035,0.0000,0.0000,0.0000
TAXA22,0.0031,0.0000,0.0000,0.0000
TAXA23,0.0028,0.0000,0.0000,0.0000
TAXA24,0.0028,0.0000,0.0010,0.0000
TAXA25,0.0024,0.0000,0.0003,0.0042
TAXA26,0.0024,0.0000,0.0000,0.0000
TAXA27,0.0022,0.0000,0.0000,0.0000
TAXA28,0.0020,0.0000,0.0035,0.0000
TAXA29,0.0019,0.0000,0.0000,0.0000
TAXA30,0.0018,0.0000,0.0000,0.0000
TAXA31,0.0016,0.0000,0.0000,0.0000
TAXA32,0.0015,0.0000,0.0000,0.0000
TAXA33,0.0014,0.0000,0.0000,0.0000
TAXA34,0.0013,0.0014,0.0000,0.0000
TAXA35,0.0012,0.0000,0.0000,0.0000
TAXA36,0.0012,0.0000,0.0000,0.0000
TAXA37,0.0011,0.0000,0.0000,0.0000
TAXA38,0.0011,0.0000,0.0000,0.0000
TAXA39,0.0011,0.0000,0.0000,0.0000
TAXA40,0.0011,0.0000,0.0004,0.0000
TAXA41,0.0010,0.0000,0.0000,0.0000
TAXA42,0.0009,0.0000,0.0000,0.0000
TAXA43,0.0008,0.0016,0.0012,0.0000
TAXA44,0.0008,0.0000,0.0000,0.0000
TAXA45,0.0008,0.0000,0.0000,0.0013
TAXA46,0.0008,0.0000,0.0000,0.0000
TAXA47,0.0007,0.0000,0.0000,0.0000
TAXA48,0.0006,0.0023,0.0000,0.0052
TAXA49,0.0006,0.0143,0.0043,0.0044
TAXA50,0.0005,0.0028,0.0000,0.0000
TAXA51,0.0005,0.0000,0.0000,0.0000
TAXA52,0.0005,0.0000,0.0000,0.0000
TAXA53,0.0004,0.0000,0.0000,0.0000
TAXA54,0.0004,0.0000,0.0000,0.0000
TAXA55,0.0004,0.0000,0.0000,0.0000
TAXA56,0.0004,0.0000,0.0000,0.0000
TAXA57,0.0003,0.0000,0.0000,0.0000
TAXA58,0.0003,0.0000,0.0132,0.0000
TAXA59,0.0003,0.0043,0.0000,0.0000
TAXA60,0.0002,0.0000,0.0000,0.0000
TAXA61,0.0002,0.0000,0.0005,0.0000
TAXA62,0.0002,0.0000,0.0000,0.0000
TAXA63,0.0002,0.0000,0.0000,0.0000
TAXA64,0.0001,0.0059,0.0015,0.0000
TAXA65,0.0000,0.0364,0.1240,0.0554
TAXA66,0.0000,0.0326,0.0007,0.0000
TAXA67,0.0000,0.0240,0.0000,0.0000
TAXA68,0.0000,0.0232,0.0000,0.0000
TAXA69,0.0000,0.0229,0.0000,0.0000
TAXA70,0.0000,0.0228,0.0000,0.0000
TAXA71,0.0000,0.0225,0.0007,0.0000
TAXA72,0.0000,0.0204,0.0000,0.0000
TAXA73,0.0000,0.0200,0.0000,0.0000
TAXA74,0.0000,0.0186,0.0000,0.0000
TAXA75,0.0000,0.0172,0.0000,0.0000
TAXA76,0.0000,0.0167,0.0000,0.0000
TAXA77,0.0000,0.0161,0.0000,0.0000
TAXA78,0.0000,0.0148,0.0000,0.0137
TAXA79,0.0000,0.0142,0.0000,0.0000
TAXA80,0.0000,0.0141,0.0005,0.0031
TAXA81,0.0000,0.0129,0.0000,0.0000
TAXA82,0.0000,0.0119,0.0012,0.0004
TAXA83,0.0000,0.0118,0.0000,0.0000
TAXA84,0.0000,0.0113,0.0000,0.0000
TAXA85,0.0000,0.0111,0.0000,0.0000
TAXA86,0.0000,0.0109,0.0000,0.0000
TAXA87,0.0000,0.0102,0.0000,0.0000
TAXA116,0.0000,0.0042,0.1665,0.0055
TAXA237,0.0000,0.0000,0.0359,0.0000
TAXA238,0.0000,0.0000,0.0294,0.0111
TAXA239,0.0000,0.0000,0.0260,0.0000
TAXA240,0.0000,0.0000,0.0236,0.0137
TAXA241,0.0000,0.0000,0.0226,0.0014
TAXA242,0.0000,0.0000,0.0212,0.0931
TAXA243,0.0000,0.0000,0.0174,0.0000
TAXA244,0.0000,0.0000,0.0156,0.0437
TAXA245,0.0000,0.0000,0.0143,0.0000
TAXA246,0.0000,0.0000,0.0137,0.0000
TAXA247,0.0000,0.0000,0.0136,0.0000
TAXA248,0.0000,0.0000,0.0132,0.0000
TAXA249,0.0000,0.0000,0.0124,0.0028
TAXA250,0.0000,0.0000,0.0100,0.0031
TAXA251,0.0000,0.0000,0.0098,0.0029
TAXA252,0.0000,0.0000,0.0089,0.0000
TAXA253,0.0000,0.0000,0.0086,0.0000
TAXA254,0.0000,0.0000,0.0078,0.0000
TAXA255,0.0000,0.0000,0.0073,0.0046
TAXA256,0.0000,0.0000,0.0062,0.0000
TAXA257,0.0000,0.0000,0.0058,0.0000
TAXA278,0.0000,0.0000,0.0026,0.0208
TAXA268,0.0000,0.0000,0.0033,0.0123
TAXA279,0.0000,0.0000,0.0025,0.0104
TAXA281,0.0000,0.0000,0.0024,0.0129
TAXA300,0.0000,0.0000,0.0016,0.0198
TAXA323,0.0000,0.0000,0.0009,0.0107
TAXA339,0.0000,0.0000,0.0008,0.0127
TAXA372,0.0000,0.0000,0.0005,0.0198
TAXA410,0.0000,0.0000,0.0000,0.0183
TAXA411,0.0000,0.0000,0.0000,0.0149
TAXA412,0.0000,0.0000,0.0000,0.0137
TAXA413,0.0000,0.0000,0.0000,0.0126
TAXA414,0.0000,0.0000,0.0000,0.0113
TAXA415,0.0000,0.0000,0.0000,0.0103
TAXA416,0.0000,0.0000,0.0000,0.0100
TAXA417,0.0000,0.0000,0.0000,0.0097
TAXA418,0.0000,0.0000,0.0000,0.0095
TAXA419,0.0000,0.0000,0.0000,0.0087
TAXA420,0.0000,0.0000,0.0000,0.0086
TAXA421,0.0000,0.0000,0.0000,0.0084
TAXA422,0.0000,0.0000,0.0000,0.0073
TAXA423,0.0000,0.0000,0.0000,0.0066
TAXA424,0.0000,0.0000,0.0000,0.0065
TAXA425,0.0000,0.0000,0.0000,0.0061
TAXA426,0.0000,0.0000,0.0000,0.0059
TAXA427,0.0000,0.0000,0.0000,0.0058
TAXA428,0.0000,0.0000,0.0000,0.0057
TAXA429,0.0000,0.0000,0.0000,0.0052