Date,Quadrat,Colony_SA,Disease_SA,Percentage
2020-07-20,1,256.884,0,0
2020-07-20,2,1151.142,0,0
2020-07-20,3,389.523,0,0
2020-07-20,4,166.868,0,0
2020-07-20,5,1348.418,0,0
2020-07-20,6,262.469,0,0
2020-07-20,7,589.126,0,0
2020-07-20,8,143.273,0,0
2020-07-20,9,1151.766,0,0
2020-07-20,10,1246.097,0,0
2020-07-20,11,1569.308,0,0
2020-07-20,12,1303.848,0,0
2020-07-20,13,1311.741,0,0
2020-07-20,14,1053.153,0,0
2020-07-20,15,1150.916,5.644,0.490392001
2020-07-20,16,1221.589,0,0
2020-07-20,17,1238.061,0,0
2020-07-20,18,963.555,0,0
2020-07-20,19,765.094,0,0
2020-07-20,20,1900.651,0,0
2020-07-20,21,706.408,0,0
2020-07-20,22,2322.33,0,0
2020-07-20,23,1472.827,0,0
2020-07-20,24,1487.695,0,0
2020-07-20,25,1650.405,0,0
2020-07-20,26,1906.883,0,0
2020-07-20,27,1233.464,147.113,11.92681748
2020-07-20,28,1042.637,0,0
2020-07-20,29,797.477,0,0
2020-07-20,30,1236.522,0,0
2020-07-20,31,1428.64,0,0
2020-07-20,32,1297.795,0,0
2020-07-20,33,1135.156,0,0
2020-07-20,34,724.881,0,0
2020-07-20,35,622.937,0,0
2020-07-20,36,270.467,0,0
2020-07-20,37,977.014,0,0
2020-07-20,38,572.539,0,0
2020-07-20,39,424.983,0,0
2020-07-20,40,841.62,0,0
2020-07-20,41,422.114,0,0
2020-07-20,42,1194.462,0,0
2020-07-20,43,1371.763,0,0
2020-07-20,44,1067.527,0,0
2020-07-20,45,724.595,0,0
2020-07-20,46,564.033,0,0
2020-07-20,47,738.233,0,0
2020-07-20,48,478.914,0,0
2020-07-20,49,713.732,0,0
2020-07-20,50,229.09,0,0
2020-08-20,1,1626.133,0,0
2020-08-20,2,1274.345,8.462,0.664027402
2020-08-20,3,1414.588,0,0
2020-08-20,4,507.014,0,0
2020-08-20,5,912.141,0,0
2020-08-20,6,792.284,0,0
2020-08-20,7,514.619,0,0
2020-08-20,8,1287.215,0,0
2020-08-20,9,1105.1,0,0
2020-08-20,10,568.301,0,0
2020-08-20,11,973.648,0,0
2020-08-20,12,1248.794,0,0
2020-08-20,13,1327.152,0,0
2020-08-20,14,602.139,0,0
2020-08-20,15,804.258,0,0
2020-08-20,16,717.865,0,0
2020-08-20,17,46.046,0,0
2020-08-20,18,906.86,0,0
2020-08-20,19,638.462,0,0
2020-08-20,20,562.343,0,0
2020-08-20,21,1500.172,0,0
2020-08-20,22,1439.525,0,0
2020-08-20,23,205.751,0,0
2020-08-20,24,768.717,0,0
2020-08-20,25,1242.334,0,0
2020-08-20,26,727.399,0,0
2020-08-20,27,693.828,0,0
2020-08-20,28,1442.899,0,0
2020-08-20,29,199.297,0,0
2020-08-20,30,508.925,0,0
2020-08-20,31,655.813,0,0
2020-08-20,32,623.71,0,0
2020-08-20,33,752.375,0,0
2020-08-20,34,736.751,0,0
2020-08-20,35,1145.767,0,0
2020-08-20,36,1454.514,0,0
2020-08-20,37,854.937,0,0
2020-08-20,38,405.139,6.306,1.55650283
2020-08-20,39,148.799,0,0
2020-08-20,40,1848.798,0,0
2020-08-20,41,1057.046,0,0
2020-08-20,42,462.46,0,0
2020-08-20,43,824.318,0,0
2020-08-20,44,160.124,0,0
2020-08-20,45,972.634,0,0
2020-08-20,46,1466.56,0,0
2020-08-20,47,1268.946,72.52,5.714979203
2020-08-20,48,1531.089,0,0
2020-08-20,49,1401.592,0,0
2020-08-20,50,1965.543,349.756,17.79437031
2020-09-15,1,549.271,0,0
2020-09-15,2,463.247,105.647,22.80576021
2020-09-15,3,774.362,0,0
2020-09-15,4,589.434,0,0
2020-09-15,5,467.257,0,0
2020-09-15,6,1813.939,0,0
2020-09-15,7,923.24,0,0
2020-09-15,8,1325.46,266.466,20.10366212
2020-09-15,9,1365.668,0,0
2020-09-15,10,1268.764,0,0
2020-09-15,11,1253.081,0,0
2020-09-15,12,631.323,0,0
2020-09-15,13,966.884,378.688,39.16581513
2020-09-15,14,1249.337,857.724,68.65433426
2020-09-15,15,753.176,0,0
2020-09-15,16,129.26,0,0
2020-09-15,17,1701.818,0,0
2020-09-15,18,1354.201,4.201,0.310219827
2020-09-15,19,1262.905,0,0
2020-09-15,20,1270.384,306.932,24.16056877
2020-09-15,21,784.73,3.473,0.442572605
2020-09-15,22,659.234,13.122,1.990491995
2020-09-15,23,1009.608,0,0
2020-09-15,24,278.664,0,0
2020-09-15,25,924.578,16.818,1.818992016
2020-09-15,26,526.305,0,0
2020-09-15,27,1543.957,0,0
2020-09-15,28,654.998,0,0
2020-09-15,29,982.75,0,0
2020-09-15,30,833.532,0,0
2020-09-15,31,435.06,0,0
2020-09-15,32,954.522,0,0
2020-09-15,33,1135.846,8.219,0.723601615
2020-09-15,34,830.173,0,0
2020-09-15,35,620.921,0,0
2020-09-15,36,1882.626,905.211,48.08235943
2020-09-15,37,1111.674,205.959,18.52692426
2020-09-15,38,1356.679,32.301,2.380887446
2020-09-15,39,1696.916,10.212,0.601797614
2020-09-15,40,1460.87,55.761,3.816972078
2020-09-15,41,895.66,0,0
2020-09-15,42,350.805,49.234,14.03457761
2020-09-15,43,716.932,0,0
2020-09-15,44,1202.412,0,0
2020-09-15,45,1461.847,0,0
2020-09-15,46,1425.37,250.958,17.6065162
2020-09-15,47,1165.269,0,0
2020-09-15,48,1228.266,0,0
2020-09-15,49,1287.448,0,0
2020-09-15,50,1571.923,11.166,0.710340138
2020-10-16,1,1199.822,0,0
2020-10-16,2,96.77,0,0
2020-10-16,3,332.585,0,0
2020-10-16,4,708.332,0,0
2020-10-16,5,91.164,0,0
2020-10-16,6,124.021,0,0
2020-10-16,7,832.76,0,0
2020-10-16,8,524.661,0,0
2020-10-16,9,207.119,0,0
2020-10-16,10,92.889,0,0
2020-10-16,11,405.847,0,0
2020-10-16,12,588.446,0,0
2020-10-16,13,797.149,0,0
2020-10-16,14,1686.292,0,0
2020-10-16,15,1406.653,364.5,25.91257403
2020-10-16,16,1192.53,6.425,0.538770513
2020-10-16,17,1419.674,172.561,12.15497361
2020-10-16,18,195.196,0,0
2020-10-16,19,876.124,0,0
2020-10-16,20,77.18,0,0
2020-10-16,21,320.134,0,0
2020-10-16,22,469.325,0,0
2020-10-16,23,782.778,0,0
2020-10-16,24,799.612,0,0
2020-10-16,25,230.92,0,0
2020-10-16,26,1312.438,0,0
2020-10-16,27,710.736,0,0
2020-10-16,28,412.484,0,0
2020-10-16,29,60.248,0,0
2020-10-16,30,394.919,0,0
2020-10-16,31,293.132,0,0
2020-10-16,32,629.138,0,0
2020-10-16,33,612.295,0,0
2020-10-16,34,1274.209,0,0
2020-10-16,35,448.682,0,0
2020-10-16,36,1737.186,0,0
2020-10-16,37,882.173,0,0
2020-10-16,38,1625.224,0,0
2020-10-16,39,599.457,0,0
2020-10-16,40,1558.792,0,0
2020-10-16,41,565.787,0,0
2020-10-16,42,208.888,0,0
2020-10-16,43,281.575,0,0
2020-10-16,44,419.549,0,0
2020-10-16,45,37.152,0,0
2020-10-16,46,211.113,0,0
2020-10-16,47,940.615,97.517,10.36736603
2020-10-16,48,433.037,0,0
2020-10-16,49,269.813,0,0
2020-10-16,50,683.154,34.585,5.062548122
2020-11-18,1,1,0,0
2020-11-18,2,1,0,0
2020-11-18,3,1,0,0
2020-11-18,4,1,0,0
2020-11-18,5,1,0,0
2020-11-18,6,1,0,0
2020-11-18,7,1,0,0
2020-11-18,8,1,0,0
2020-11-18,9,1,0,0
2020-11-18,10,1,0,0
2020-11-18,11,1,0,0
2020-11-18,12,1,0,0
2020-11-18,13,1,0,0
2020-11-18,14,1,0,0
2020-11-18,15,1,0,0
2020-11-18,16,1,0,0
2020-11-18,17,1,0,0
2020-11-18,18,1,0,0
2020-11-18,19,1,0,0
2020-11-18,20,1,0,0
2020-11-18,21,1,0,0
2020-11-18,22,1,0,0
2020-11-18,23,1,0,0
2020-11-18,24,1,0,0
2020-11-18,25,1,0,0
2020-11-18,26,1,0,0
2020-11-18,27,1,0,0
2020-11-18,28,1,0,0
2020-11-18,29,1,0,0
2020-11-18,30,1,0,0
2020-11-18,31,1,0,0
2020-11-18,32,1,0,0
2020-11-18,33,1,0,0
2020-11-18,34,1,0,0
2020-11-18,35,1,0,0
2020-11-18,36,1,0,0
2020-11-18,37,1,0,0
2020-11-18,38,1,0,0
2020-11-18,39,1,0,0
2020-11-18,40,1,0,0
2020-11-18,41,1,0,0
2020-11-18,42,1,0,0
2020-11-18,43,1,0,0
2020-11-18,44,1,0,0
2020-11-18,45,1,0,0
2020-11-18,46,1,0,0
2020-11-18,47,1,0,0
2020-11-18,48,1,0,0
2020-11-18,49,1,0,0
2020-11-18,50,1,0,0
2020-12-08,1,1,0,0
2020-12-08,2,1,0,0
2020-12-08,3,1,0,0
2020-12-08,4,1,0,0
2020-12-08,5,1,0,0
2020-12-08,6,1,0,0
2020-12-08,7,1,0,0
2020-12-08,8,1,0,0
2020-12-08,9,1,0,0
2020-12-08,10,1,0,0
2020-12-08,11,1,0,0
2020-12-08,12,1,0,0
2020-12-08,13,1,0,0
2020-12-08,14,1,0,0
2020-12-08,15,1,0,0
2020-12-08,16,1,0,0
2020-12-08,17,1,0,0
2020-12-08,18,1,0,0
2020-12-08,19,1,0,0
2020-12-08,20,1,0,0
2020-12-08,21,1,0,0
2020-12-08,22,1,0,0
2020-12-08,23,1,0,0
2020-12-08,24,1,0,0
2020-12-08,25,1,0,0
2020-12-08,26,1,0,0
2020-12-08,27,1,0,0
2020-12-08,28,1,0,0
2020-12-08,29,1,0,0
2020-12-08,30,1,0,0
2020-12-08,31,1,0,0
2020-12-08,32,1,0,0
2020-12-08,33,1,0,0
2020-12-08,34,1,0,0
2020-12-08,35,1,0,0
2020-12-08,36,1,0,0
2020-12-08,37,1,0,0
2020-12-08,38,1,0,0
2020-12-08,39,1,0,0
2020-12-08,40,1,0,0
2020-12-08,41,1,0,0
2020-12-08,42,1,0,0
2020-12-08,43,1,0,0
2020-12-08,44,1,0,0
2020-12-08,45,1,0,0
2020-12-08,46,1,0,0
2020-12-08,47,1,0,0
2020-12-08,48,1,0,0
2020-12-08,49,1,0,0
2020-12-08,50,1,0,0
